Dados climáticos extraídos das fotos,,,,,,,,,
Transcrição manual assistida por visão computacional. Linhas em branco das fotos não foram incluídas.,,,,,,,,,
Nome,Data,Hora,TS,TU,Umidade (%),HTP,Chuva (mm),Origem,Observação
MANU / WIL,16/03,09:37,25,22,78,913,0,Foto 1,
MRC,14/03,10:48,29,24,66,844,0,Foto 1,
THL / JHY,18/03,09:35,23.5,21,80,857,0,Foto 1,
THL,19/03,09:35,24.5,22,81,880,1,Foto 1,
KRA / AYE,19/03,15:30,27,23,63,910,0,Foto 1,
MBC,20/03,09:32,25,21,71,866,0,Foto 1,
WIM / EMY,23/03,09:38,25,22,71,845,3,Foto 1,Primeira sigla do nome pouco legível; interpretada como WIM.
ISB / DVI,20/03,15:29,29,23,2,891,0,Foto 1,
PDR / DVI,23/03,15:30,28,23,65,880,0,Foto 1,Primeira sigla do nome pouco legível; interpretada como PDR.
MRC,24/03,09:40,29,22,78,0,0,Foto 1,Data e hora estavam deslocadas/ambíguas na imagem; interpretadas como 24/03 às 09:40.
THL / JHY,25/03,09:36,24,20,70,917,0,Foto 1,
,25/03,15:30,28.5,23,62,915,0,Foto 1,
HLN / RYN,26/03,09:34,27,23,72,918,0,Foto 2,
AYE,26/03,15:58,31,22,45,844,0,Foto 2,"Valor de TU parece 22, mas está rasurado/sobrescrito."
MRC,27/03,09:35,27,23,72,798,0,Foto 2,
MLY / MRI,27/03,15:30,30,24,61,826,0,Foto 2,
WIM / EMY,30/03,09:40,1250,20,83,825,0,Foto 2,
PDR / DVI,30/03,15:29,26,22,71,859,0,Foto 2,
MRC,31/03,09:35,22,20,-15,846,1,Foto 2,
IGR / FLP,31/03,15:31,23,20,77,913,0,Foto 2,
THL / JHY,01/04,09:37,23.5,19.5,69,945,0,Foto 2,
LVN / MRI,01/04,15:30,27,21,59,912,0,Foto 2,
EMY,06/04,09:30,23,20,79,920,250,Foto 2,
PDR / DVI,06/04,15:29,26,22,71,947,0,Foto 2,
,07/04,09:39,-6,22,71,947,0,Foto 3,
FLP / IGR,07/04,15:30,28,22,60,0,0,Foto 3,
THL / JHY,08/04,09:39,22.5,20,80,914,3,Foto 3,
HLN / RYN,09/04,09:34,21,15.5,53,916,0,Foto 3,
AYE,09/04,15:52,25,18,51,915,0,Foto 3,
MBC,10/04,09:35,18,16,82,949,0.1,Foto 3,
MLY,10/04,15:20,20,18,83,948,0,Foto 3,
