NOME,DATA,HORA,TS,TU,%,HTP,mm
MANU/WIL,16/03,9:39,25,22,78,943,0
MRC,14/03,10:48,29,24,66,844,0
THC/JMY,18/03,9:35,23.5,21,80,851,0
THC,19/03,9:35,24.5,22,81,880,1
KRA/AYE,19/03,15:30,27,23,63,910,0
MBC,20/03,9:32,25,21,71,866,0
ISB/DVI,20/03,15:29,29,23,64,891,0
WLM/EMY,23/03,9:38,25,22,71,845,3
PDU/DVI,23/03,15:30,28,23,65,880,0
MRC,24/03,9:40,29,22,78,862,0
THC/JMY,25/03,9:36,24,20,70,947,0
LUN/MRT,25/03,15:30,28.5,23,62,915,0
HCN/RYN,26/03,9:34,27,23,72,918,0
AYE,26/03,15:38,31,22,45,844,0
MRC,27/03,9:35,27,23,72,798,0
MLY/MRI,27/03,15:30,30,24,61,826,0
WIM/EMY,30/03,9:40,22,20,83,825,0
PDR/DVI,30/03,15:29,26,22,71,859,0
MRC,31/03,9:35,22,20,84,846,1
IGR/FLP,31/03,15:31,23,20,77,913,0
THC/JMY,01/04,9:37,23.5,19.5,69,915,0
LUN/MRT,01/04,15:30,27,21,59,912,0
EMY,06/04,9:30,23,20,79,920,0
PDR/DVI,06/04,15:29,26,22,71,917,0
MRC,07/04,9:39,26,22,71,947,0
FLP/IGR,07/04,15:30,28,22,60,913,0
THC/JMY,08/04,9:39,22.5,20,80,914,3
HCN/RYN,09/04,9:34,21,15.5,53,946,0
AYE,09/04,15:52,25,18,51,945,0
MBC,10/04,9:35,18,16,82,949,0.1
MLY,10/04,15:20,20,18,83,918,0
MRC,13/04,9:38,23,21.5,77,880,0
THC/JMY,13/04,15:36,26,22.5,67,869,1
LUN/MRT,14/04,9:35,22.5,19,68,915,0
HCN/RYN,14/04,15:30,25,21,56,925,0
AYE,15/04,9:33,21,19,79,871,0
MBC,15/04,15:32,26,22.5,69,917,0
PDR/DVI,16/04,9:31,20,17.5,74,927,0
FLP/IGR,16/04,15:23,25,23.5,76,885,1
MLY/MRI,17/04,9:38,21,18,73,877,0
WIM/EMY,17/04,15:27,23,18.5,60,911,0
MRC,20/04,9:38,19.5,16.5,75,910,0
THC/JMY,20/04,15:32,23,19,57,926,0
LUN/MRT,21/04,9:38,20,18,81,925,0
HCN/RYN,21/04,15:37,23.5,19,60,878,0
AYE,22/04,9:30,20.5,16.5,61,909,0
MBC,22/04,15:33,23,21,71,873,0
PDR/DVI,23/04,9:36,20.5,17.5,70,899,0
FLP/IGR,23/04,15:28,24.5,23,82,911,0
MLY/MRI,24/04,9:36,21,18.5,70,877,1.5
WIM/EMY,24/04,15:36,24,21,64,911,0
WLM/EMY,27/04,9:31,18.5,14.5,80,952,0
PDR/DVI,27/04,15:37,21.5,19.5,62,909,0
MANU/WIL,28/04,9:35,23.5,21.5,75,926,0
FLP/IGR,28/04,15:32,23.5,22,84,916,3.5
LUN/MRT,29/04,9:30,22,17.5,73,925,0
ISB/DVI,29/04,15:31,27,22.5,57,883,0
WIM/EMY,30/04,9:32,20,15,77,918,0
EMY,30/04,15:30,24.5,19.5,65,901,0
KRA/AYE,01/05,9:35,16.5,14,87,956,0
WIM/EMY,01/05,15:37,25.5,22,57,860,0
THC,04/05,9:38,21.5,18.5,68,952,0
AYE,04/05,15:37,16.5,13.5,88,888,3
PDU/DVI,05/05,9:32,19,14.5,74,880,0
IGR/FLP,05/05,15:26,22.5,18.5,79,923,4
AYE,06/05,9:37,21.5,16.5,79,918,0
IGR/FLP,06/05,15:37,24,21.5,78,859,1
MRC,07/05,9:34,18.5,14.5,82,931,4
AYE,07/05,15:30,22.5,19,59,859,0
MLY,08/05,9:30,17.5,15.5,80,879,0
HCN/RYN,08/05,15:23,23,21.5,91,908,1.5
HCN/RYN,11/05,9:40,18.5,14,70,916,0
PDU/DVI,11/05,15:22,24,22,80,881,2
LUN/MRT,12/05,9:31,16.5,12.5,80,855,0
WIM/EMY,12/05,15:33,20,18,88,911,1.5
MLY,13/05,9:30,17,14.5,72,927,0
MRC,13/05,15:27,21,19.5,78,859,0.1
LUN/MRT,14/05,9:35,16,12.5,92,938,2
PDU/DVI,14/05,15:20,24,20.5,70,947,0
FLP/IGR,15/05,9:35,16.5,13,80,868,0
AYE,15/05,15:36,21,16.5,71,913,0
WIM/EMY,18/05,9:31,21.5,19,79,882,0
PDR/DVI,18/05,15:22,20,17,92,957,2.5
WIM/EMY,19/05,9:36,16.5,11.5,74,897,0
MLY/MRI,19/05,15:21,21,17,80,894,0.1
IGR/FLP,20/05,9:39,16.5,12,86,904,0
MLY,20/05,15:25,21,16.5,62,883,0
MRC,21/05,9:31,20,16,71,863,0
LUN/MRT,21/05,15:27,21.5,17,66,874,0
HCN/RYN,22/05,9:30,16,11.5,92,923,2
MLY,22/05,15:31,23.5,18.5,57,898,0
AYE,25/05,9:36,16.5,12,75,854,0
FLP/IGR,25/05,15:33,24,19,67,863,0
MBC,26/05,9:38,19.5,15.5,69,943,0
ISB/DVI,26/05,15:32,24,20.5,58,907,0
MLY,27/05,9:39,19.5,17.5,72,894,0
FLP/IGR,27/05,15:25,21.5,18,73,935,0
LUN/MRT,28/05,9:34,19.5,17,83,882,0
PDR/DVI,28/05,15:34,20.5,15.5,70,929,0
HCN/RYN,29/05,9:30,20.5,17.5,72,863,0
PDU/DVI,29/05,15:23,25,21,61,898,0
PDU/DVI,01/06,9:38,15.5,13.5,90,918,3
THC,01/06,15:36,20.5,17.5,64,909,0
FLP/IGR,02/06,9:38,14,11,80,889,0
WLM/EMY,02/06,15:32,20,18,93,957,0.1
PDR/DVI,03/06,9:36,16.5,13,87,893,0
AYE,03/06,15:35,22.5,18,65,870,0
WIM/EMY,04/06,9:39,18.5,14.5,82,956,0
MLY,04/06,15:34,20.5,16.5,90,899,1
AYE,05/06,9:37,15,10,81,946,0
LUN/MRT,05/06,15:20,22,20,73,852,0
MLY/MRI,08/06,9:34,13,9,86,883,0
MRC,08/06,15:32,21.5,18,79,916,3
HCN/RYN,09/06,9:34,17,12.5,75,926,0
AYE,09/06,15:30,17.5,14,75,857,0
PDR/DVI,10/06,9:32,14,9,85,949,0
FLP/IGR,10/06,15:27,20,16,90,892,2
MLY,11/06,9:37,18,14.5,80,891,0
PDR/DVI,11/06,15:27,21.5,17.5,84,878,2.5
MBC,12/06,9:31,17.5,13.5,78,939,0
WIM/EMY,12/06,15:33,19.5,16,69,902,0
WIM/EMY,15/06,9:31,15,12,76,871,0
MBC,15/06,15:36,18.5,14.5,67,907,0
MANU/WIL,16/06,9:32,15.5,12.5,78,930,0
EMY,16/06,15:25,15,11,76,898,3
EMY,17/06,9:40,14,12,83,920,0
MRC,17/06,15:36,22.5,20.5,89,886,3
HCN/RYN,18/06,9:39,18.5,13.5,74,916,0
ISB/DVI,18/06,15:22,19,15,65,859,0
WLM/EMY,19/06,9:40,16,14,90,892,1
FLP/IGR,19/06,15:24,20,16.5,71,945,0
WIM/EMY,22/06,9:38,15.5,11,90,960,3.5
WLM/EMY,22/06,15:38,16,13,70,855,0
THC/JMY,23/06,9:37,17.5,14.5,71,929,0
THC,23/06,15:22,18.5,14.5,73,901,0
MRC,24/06,9:34,17.5,13,76,926,0
THC/JMY,24/06,15:32,20,17,66,948,0
PDU/DVI,25/06,9:37,17,15,79,921,0
AYE,25/06,15:23,21,16,66,918,0
LUN/MRT,26/06,9:31,15,12.5,83,917,0
THC/JMY,26/06,15:29,20.5,18,73,902,0
THC/JMY,29/06,9:33,16.5,13,79,869,0
MANU/WIL,29/06,15:36,18,13.5,77,888,0
PDU/DVI,30/06,9:32,15.5,11.5,88,915,0
LUN/MRT,30/06,15:26,21,17.5,67,877,0
MRC,01/07,9:36,16.5,14.5,84,935,0
MLY,01/07,15:38,19.5,17,77,865,0
IGR/FLP,02/07,9:36,14.5,11,82,935,0
THC,02/07,15:30,15.5,12.5,86,901,4
HCN/RYN,03/07,9:36,10,8,88,943,0
EMY,03/07,15:30,16,13.5,71,849,0
,,Mínimo,10,8,45,798,0
,,Máximo,31,24,93,960,4
,,Média,20.85430464,17.29139073,74.29139073,901.0331126,0.4298013245
,,Contagem,151,151,151,151,151
,,Mediana,21,17.5,75,907,0
,,Amplitude,22,15.5,86,866,4
